cycle_count,avg_depth_of_discharge,avg_operating_temp_c,soh_percent
675,0.979,21.1,89.49
743,0.979,21.1,88.13
0,0.417,23.3,100.0
7,0.417,23.3,100.0
14,0.417,23.3,100.0
21,0.417,23.3,99.91
28,0.417,23.3,100.0
35,0.417,23.3,99.45
42,0.417,23.3,99.56
49,0.417,23.3,99.26
56,0.417,23.3,99.04
63,0.417,23.3,99.52
70,0.417,23.3,99.4
77,0.417,23.3,99.51
0,0.748,30.7,100.0
13,0.748,30.7,99.81
26,0.748,30.7,99.77
39,0.748,30.7,99.18
52,0.748,30.7,99.36
65,0.748,30.7,99.26
79,0.748,30.7,98.57
92,0.748,30.7,98.62
105,0.748,30.7,98.18
118,0.748,30.7,98.0
131,0.748,30.7,97.58
145,0.748,30.7,98.19
0,0.842,32.8,99.93
195,0.842,32.8,97.61
390,0.842,32.8,92.77
585,0.842,32.8,89.15
780,0.842,32.8,85.06
975,0.842,32.8,81.42
1170,0.842,32.8,77.64
1365,0.842,32.8,73.33
1560,0.842,32.8,69.98
1755,0.842,32.8,65.41
1950,0.842,32.8,61.36
2146,0.842,32.8,56.85
0,0.725,28.1,99.79
118,0.725,28.1,98.05
237,0.725,28.1,97.44
356,0.725,28.1,94.55
474,0.725,28.1,92.25
593,0.725,28.1,90.6
712,0.725,28.1,88.89
831,0.725,28.1,87.14
949,0.725,28.1,85.19
1068,0.725,28.1,83.25
1187,0.725,28.1,80.8
1306,0.725,28.1,79.14
0,0.492,24.7,99.58
157,0.492,24.7,98.65
315,0.492,24.7,96.67
472,0.492,24.7,94.89
630,0.492,24.7,92.62
788,0.492,24.7,90.93
945,0.492,24.7,88.07
1103,0.492,24.7,87.0
1261,0.492,24.7,84.75
1418,0.492,24.7,82.9
1576,0.492,24.7,80.78
1734,0.492,24.7,78.26
0,0.38,24.0,100.0
61,0.38,24.0,99.68
122,0.38,24.0,98.36
183,0.38,24.0,97.88
244,0.38,24.0,97.35
305,0.38,24.0,96.84
367,0.38,24.0,95.84
428,0.38,24.0,95.17
489,0.38,24.0,94.73
550,0.38,24.0,94.4
611,0.38,24.0,93.29
673,0.38,24.0,92.99
0,0.841,19.9,100.0
36,0.841,19.9,99.41
72,0.841,19.9,98.89
108,0.841,19.9,99.01
144,0.841,19.9,98.01
180,0.841,19.9,98.0
216,0.841,19.9,97.27
252,0.841,19.9,96.49
288,0.841,19.9,96.27
324,0.841,19.9,95.7
360,0.841,19.9,95.43
397,0.841,19.9,94.34
0,0.657,28.6,100.0
128,0.657,28.6,97.89
257,0.657,28.6,96.71
386,0.657,28.6,94.58
515,0.657,28.6,91.98
644,0.657,28.6,90.86
773,0.657,28.6,89.2
902,0.657,28.6,86.73
1031,0.657,28.6,84.83
1160,0.657,28.6,82.3
1289,0.657,28.6,79.61
1418,0.657,28.6,77.46
0,0.696,24.9,99.98
95,0.696,24.9,99.0
191,0.696,24.9,96.96
287,0.696,24.9,95.95
383,0.696,24.9,95.26
479,0.696,24.9,92.97
575,0.696,24.9,92.24
671,0.696,24.9,90.35
767,0.696,24.9,89.28
863,0.696,24.9,88.03
959,0.696,24.9,86.46
1055,0.696,24.9,85.06
0,0.443,36.8,99.7
65,0.443,36.8,99.24
130,0.443,36.8,98.33
195,0.443,36.8,97.48
260,0.443,36.8,96.48
325,0.443,36.8,95.11
390,0.443,36.8,93.96
455,0.443,36.8,93.76
520,0.443,36.8,92.53
585,0.443,36.8,91.88
650,0.443,36.8,90.46
715,0.443,36.8,88.99
0,0.824,26.4,99.77
139,0.824,26.4,98.5
278,0.824,26.4,95.4
417,0.824,26.4,93.31
556,0.824,26.4,91.15
695,0.824,26.4,88.38
835,0.824,26.4,86.49
974,0.824,26.4,84.55
1113,0.824,26.4,81.4
1252,0.824,26.4,79.29
1391,0.824,26.4,75.75
1531,0.824,26.4,74.24
0,0.594,23.3,100.0
7,0.594,23.3,99.82
14,0.594,23.3,99.79
21,0.594,23.3,99.65
28,0.594,23.3,99.03
35,0.594,23.3,99.23
42,0.594,23.3,99.88
49,0.594,23.3,98.72
56,0.594,23.3,99.11
63,0.594,23.3,99.16
70,0.594,23.3,99.83
77,0.594,23.3,99.4
0,0.55,38.1,100.0
37,0.55,38.1,98.99
74,0.55,38.1,99.27
111,0.55,38.1,98.16
148,0.55,38.1,97.34
185,0.55,38.1,97.02
222,0.55,38.1,96.58
259,0.55,38.1,95.69
296,0.55,38.1,95.43
333,0.55,38.1,94.41
370,0.55,38.1,94.2
408,0.55,38.1,93.49
0,0.639,25.9,100.0
70,0.639,25.9,99.33
140,0.639,25.9,98.93
211,0.639,25.9,97.58
281,0.639,25.9,96.63
351,0.639,25.9,96.39
422,0.639,25.9,94.49
492,0.639,25.9,93.48
562,0.639,25.9,92.56
633,0.639,25.9,90.93
703,0.639,25.9,90.12
774,0.639,25.9,89.06
0,0.767,27.8,100.0
176,0.767,27.8,97.68
352,0.767,27.8,94.51
528,0.767,27.8,91.45
704,0.767,27.8,89.15
880,0.767,27.8,86.05
1056,0.767,27.8,82.22
1232,0.767,27.8,79.64
1408,0.767,27.8,76.76
1584,0.767,27.8,73.91
1760,0.767,27.8,70.87
1936,0.767,27.8,67.55
0,0.755,29.4,99.76
29,0.755,29.4,99.5
58,0.755,29.4,99.16
87,0.755,29.4,98.7
116,0.755,29.4,97.6
145,0.755,29.4,97.66
175,0.755,29.4,97.34
204,0.755,29.4,96.75
233,0.755,29.4,96.29
262,0.755,29.4,96.07
291,0.755,29.4,95.04
321,0.755,29.4,94.36
0,0.587,34.3,100.0
14,0.587,34.3,99.3
29,0.587,34.3,99.52
43,0.587,34.3,99.49
58,0.587,34.3,99.24
73,0.587,34.3,99.15
87,0.587,34.3,98.43
102,0.587,34.3,98.54
117,0.587,34.3,98.44
131,0.587,34.3,98.37
146,0.587,34.3,97.56
161,0.587,34.3,97.49
0,0.25,24.6,99.82
170,0.25,24.6,98.21
340,0.25,24.6,97.09
510,0.25,24.6,95.44
681,0.25,24.6,93.06
851,0.25,24.6,92.31
1021,0.25,24.6,90.27
1191,0.25,24.6,89.12
1362,0.25,24.6,86.83
1532,0.25,24.6,85.62
1702,0.25,24.6,83.82
1873,0.25,24.6,82.33
0,0.672,27.2,99.48
187,0.672,27.2,97.23
375,0.672,27.2,94.67
563,0.672,27.2,91.63
750,0.672,27.2,89.2
938,0.672,27.2,85.96
1126,0.672,27.2,82.78
1314,0.672,27.2,80.04
1501,0.672,27.2,77.24
1689,0.672,27.2,74.26
1877,0.672,27.2,71.78
2065,0.672,27.2,67.84
0,0.637,32.0,99.99
164,0.637,32.0,97.41
329,0.637,32.0,94.45
493,0.637,32.0,92.16
658,0.637,32.0,89.26
823,0.637,32.0,86.28
987,0.637,32.0,83.85
1152,0.637,32.0,80.97
1317,0.637,32.0,78.72
1481,0.637,32.0,75.91
1646,0.637,32.0,72.53
1811,0.637,32.0,69.89
0,0.316,25.5,100.0
36,0.316,25.5,99.44
72,0.316,25.5,99.73
108,0.316,25.5,98.49
144,0.316,25.5,98.24
180,0.316,25.5,98.57
216,0.316,25.5,98.55
252,0.316,25.5,97.78
288,0.316,25.5,97.24
324,0.316,25.5,96.12
360,0.316,25.5,95.82
397,0.316,25.5,96.2
0,0.586,21.3,100.0
186,0.586,21.3,97.97
373,0.586,21.3,96.02
559,0.586,21.3,93.46
746,0.586,21.3,91.51
932,0.586,21.3,88.74
1119,0.586,21.3,86.31
1305,0.586,21.3,84.33
1492,0.586,21.3,81.2
1678,0.586,21.3,80.1
1865,0.586,21.3,76.8
2052,0.586,21.3,74.33
0,0.745,42.1,99.44
121,0.745,42.1,98.1
242,0.745,42.1,94.92
363,0.745,42.1,92.45
484,0.745,42.1,89.28
605,0.745,42.1,87.2
727,0.745,42.1,84.03
848,0.745,42.1,81.53
969,0.745,42.1,78.61
1090,0.745,42.1,76.59
1211,0.745,42.1,73.79
1333,0.745,42.1,70.26
0,0.662,26.4,100.0
141,0.662,26.4,98.03
283,0.662,26.4,96.0
425,0.662,26.4,94.44
567,0.662,26.4,91.82
709,0.662,26.4,89.88
851,0.662,26.4,87.2
993,0.662,26.4,85.85
1135,0.662,26.4,84.11
1277,0.662,26.4,81.5
1419,0.662,26.4,79.57
1561,0.662,26.4,76.55
0,0.693,22.4,100.0
69,0.693,22.4,99.21
138,0.693,22.4,97.8
208,0.693,22.4,96.92
277,0.693,22.4,95.98
347,0.693,22.4,95.69
416,0.693,22.4,95.3
486,0.693,22.4,94.09
555,0.693,22.4,92.0
625,0.693,22.4,92.18
694,0.693,22.4,91.05
764,0.693,22.4,89.2
0,0.595,36.7,100.0
177,0.595,36.7,96.74
355,0.595,36.7,94.41
533,0.595,36.7,90.35
711,0.595,36.7,87.88
889,0.595,36.7,85.17
1067,0.595,36.7,81.56
1245,0.595,36.7,78.14
1423,0.595,36.7,75.36
1601,0.595,36.7,72.1
1779,0.595,36.7,68.91
1957,0.595,36.7,65.43
0,0.845,34.1,100.0
46,0.845,34.1,99.13
92,0.845,34.1,97.96
138,0.845,34.1,97.19
185,0.845,34.1,96.53
231,0.845,34.1,95.82
277,0.845,34.1,95.35
323,0.845,34.1,93.93
370,0.845,34.1,93.37
416,0.845,34.1,92.48
462,0.845,34.1,91.1
509,0.845,34.1,90.44
0,0.606,38.3,100.0
62,0.606,38.3,98.61
125,0.606,38.3,98.03
187,0.606,38.3,97.48
250,0.606,38.3,95.73
312,0.606,38.3,94.85
375,0.606,38.3,93.76
437,0.606,38.3,92.08
500,0.606,38.3,91.48
562,0.606,38.3,89.67
625,0.606,38.3,88.78
688,0.606,38.3,88.21
0,0.714,26.9,99.98
136,0.714,26.9,98.12
273,0.714,26.9,96.32
410,0.714,26.9,93.75
547,0.714,26.9,91.89
684,0.714,26.9,89.62
820,0.714,26.9,87.02
957,0.714,26.9,85.07
1094,0.714,26.9,83.73
1231,0.714,26.9,81.1
1368,0.714,26.9,78.27
1505,0.714,26.9,75.96
0,0.63,39.9,99.93
58,0.63,39.9,99.5
117,0.63,39.9,98.12
175,0.63,39.9,97.1
234,0.63,39.9,95.38
293,0.63,39.9,95.07
351,0.63,39.9,93.53
410,0.63,39.9,92.82
469,0.63,39.9,91.1
527,0.63,39.9,90.32
586,0.63,39.9,89.24
645,0.63,39.9,87.9
0,0.723,27.1,100.0
30,0.723,27.1,99.98
60,0.723,27.1,98.93
90,0.723,27.1,98.96
120,0.723,27.1,98.07
150,0.723,27.1,97.47
180,0.723,27.1,97.8
210,0.723,27.1,96.39
240,0.723,27.1,96.86
270,0.723,27.1,95.99
300,0.723,27.1,95.55
331,0.723,27.1,95.29
0,0.755,23.2,100.0
39,0.755,23.2,99.56
78,0.755,23.2,98.56
118,0.755,23.2,98.4
157,0.755,23.2,98.4
196,0.755,23.2,97.96
236,0.755,23.2,97.05
275,0.755,23.2,95.83
314,0.755,23.2,95.86
354,0.755,23.2,95.4
393,0.755,23.2,94.79
433,0.755,23.2,94.23
0,0.715,28.5,99.34
107,0.715,28.5,98.6
215,0.715,28.5,96.9
323,0.715,28.5,95.35
431,0.715,28.5,92.97
539,0.715,28.5,91.93
647,0.715,28.5,90.67
755,0.715,28.5,88.21
863,0.715,28.5,86.38
971,0.715,28.5,84.71
1079,0.715,28.5,83.51
1187,0.715,28.5,80.63
0,0.687,23.4,99.81
13,0.687,23.4,99.84
26,0.687,23.4,100.0
39,0.687,23.4,100.0
52,0.687,23.4,99.54
65,0.687,23.4,99.08
78,0.687,23.4,99.92
91,0.687,23.4,98.73
104,0.687,23.4,98.51
117,0.687,23.4,97.92
130,0.687,23.4,98.86
144,0.687,23.4,98.53
0,0.98,19.3,100.0
121,0.98,19.3,98.58
243,0.98,19.3,95.88
365,0.98,19.3,95.08
487,0.98,19.3,92.92
609,0.98,19.3,90.69
730,0.98,19.3,88.98
852,0.98,19.3,86.5
974,0.98,19.3,84.57
1096,0.98,19.3,82.6
1218,0.98,19.3,80.1
1340,0.98,19.3,79.02
0,0.864,24.1,100.0
123,0.864,24.1,98.12
247,0.864,24.1,96.41
370,0.864,24.1,94.11
494,0.864,24.1,92.01
618,0.864,24.1,90.65
741,0.864,24.1,88.22
865,0.864,24.1,86.88
989,0.864,24.1,84.1
1112,0.864,24.1,81.68
1236,0.864,24.1,80.32
1360,0.864,24.1,77.98
0,0.781,37.3,99.96
118,0.781,37.3,97.78
236,0.781,37.3,95.08
355,0.781,37.3,93.05
473,0.781,37.3,91.21
591,0.781,37.3,88.38
710,0.781,37.3,85.34
828,0.781,37.3,82.78
946,0.781,37.3,81.4
1065,0.781,37.3,78.25
1183,0.781,37.3,75.52
1302,0.781,37.3,73.08
0,0.384,39.0,99.86
95,0.384,39.0,99.23
191,0.384,39.0,97.42
287,0.384,39.0,96.52
383,0.384,39.0,94.7
479,0.384,39.0,93.48
575,0.384,39.0,91.99
671,0.384,39.0,90.5
767,0.384,39.0,88.94
863,0.384,39.0,87.26
959,0.384,39.0,86.53
1055,0.384,39.0,84.06
0,0.651,29.1,99.85
153,0.651,29.1,97.98
306,0.651,29.1,95.54
459,0.651,29.1,92.7
612,0.651,29.1,90.88
765,0.651,29.1,88.09
918,0.651,29.1,85.43
1071,0.651,29.1,83.64
1224,0.651,29.1,81.29
1377,0.651,29.1,78.82
1530,0.651,29.1,76.33
1683,0.651,29.1,72.94
0,0.405,42.8,99.63
63,0.405,42.8,99.31
126,0.405,42.8,97.89
189,0.405,42.8,97.17
252,0.405,42.8,95.91
315,0.405,42.8,95.3
378,0.405,42.8,94.12
441,0.405,42.8,92.88
504,0.405,42.8,91.62
567,0.405,42.8,91.02
630,0.405,42.8,89.45
694,0.405,42.8,88.94
0,0.98,38.5,99.97
124,0.98,38.5,96.64
248,0.98,38.5,93.99
372,0.98,38.5,91.96
497,0.98,38.5,88.22
621,0.98,38.5,85.22
745,0.98,38.5,82.35
869,0.98,38.5,78.94
994,0.98,38.5,75.75
1118,0.98,38.5,73.03
1242,0.98,38.5,69.59
1367,0.98,38.5,66.46
0,0.509,32.7,99.92
17,0.509,32.7,99.74
34,0.509,32.7,99.79
51,0.509,32.7,99.31
69,0.509,32.7,99.02
86,0.509,32.7,99.06
103,0.509,32.7,98.89
120,0.509,32.7,98.38
138,0.509,32.7,98.21
155,0.509,32.7,97.67
172,0.509,32.7,97.4
190,0.509,32.7,97.72
0,0.73,32.2,100.0
91,0.73,32.2,98.84
183,0.73,32.2,97.4
274,0.73,32.2,95.84
366,0.73,32.2,93.9
457,0.73,32.2,92.82
549,0.73,32.2,90.79
640,0.73,32.2,89.31
732,0.73,32.2,87.53
823,0.73,32.2,85.87
915,0.73,32.2,83.86
1007,0.73,32.2,82.68
0,0.98,26.4,100.0
133,0.98,26.4,97.64
267,0.98,26.4,95.25
401,0.98,26.4,93.52
535,0.98,26.4,90.26
669,0.98,26.4,87.82
802,0.98,26.4,84.91
936,0.98,26.4,82.64
1070,0.98,26.4,79.72
1204,0.98,26.4,77.95
1338,0.98,26.4,76.1
1472,0.98,26.4,72.36
0,0.35,35.3,100.0
17,0.35,35.3,99.72
34,0.35,35.3,99.4
52,0.35,35.3,99.35
69,0.35,35.3,99.47
86,0.35,35.3,98.92
104,0.35,35.3,98.61
121,0.35,35.3,98.5
138,0.35,35.3,97.92
156,0.35,35.3,98.27
173,0.35,35.3,97.3
191,0.35,35.3,97.54
0,0.787,31.1,100.0
88,0.787,31.1,98.59
177,0.787,31.1,97.52
266,0.787,31.1,95.9
355,0.787,31.1,94.16
444,0.787,31.1,92.74
533,0.787,31.1,91.08
622,0.787,31.1,89.04
711,0.787,31.1,87.1
800,0.787,31.1,86.08
889,0.787,31.1,84.47
978,0.787,31.1,83.01
0,0.481,22.7,99.98
56,0.481,22.7,98.79
113,0.481,22.7,98.98
170,0.481,22.7,97.58
227,0.481,22.7,97.27
284,0.481,22.7,97.44
341,0.481,22.7,96.97
398,0.481,22.7,95.26
455,0.481,22.7,94.92
512,0.481,22.7,94.39
569,0.481,22.7,94.34
626,0.481,22.7,92.88
0,0.564,39.8,99.87
113,0.564,39.8,98.43
227,0.564,39.8,95.69
340,0.564,39.8,94.15
454,0.564,39.8,91.57
567,0.564,39.8,89.72
681,0.564,39.8,88.28
794,0.564,39.8,85.87
908,0.564,39.8,83.64
1021,0.564,39.8,81.36
1135,0.564,39.8,79.38
1249,0.564,39.8,77.39
0,0.827,10.6,100.0
148,0.827,10.6,98.4
297,0.827,10.6,96.89
446,0.827,10.6,95.12
595,0.827,10.6,93.16
744,0.827,10.6,91.3
893,0.827,10.6,89.6
1042,0.827,10.6,88.27
1191,0.827,10.6,85.78
1340,0.827,10.6,84.18
1489,0.827,10.6,82.41
1638,0.827,10.6,81.04
0,0.596,35.7,100.0
63,0.596,35.7,99.05
126,0.596,35.7,98.01
190,0.596,35.7,96.93
253,0.596,35.7,95.92
317,0.596,35.7,95.25
380,0.596,35.7,93.97
444,0.596,35.7,92.89
507,0.596,35.7,91.34
571,0.596,35.7,90.29
634,0.596,35.7,90.29
698,0.596,35.7,88.37
0,0.511,39.0,100.0
51,0.511,39.0,99.21
102,0.511,39.0,98.36
153,0.511,39.0,97.6
204,0.511,39.0,96.35
255,0.511,39.0,95.97
306,0.511,39.0,95.26
357,0.511,39.0,94.95
408,0.511,39.0,93.47
459,0.511,39.0,91.76
510,0.511,39.0,91.68
562,0.511,39.0,91.78
0,0.806,23.3,100.0
108,0.806,23.3,98.27
216,0.806,23.3,96.49
324,0.806,23.3,95.23
432,0.806,23.3,93.75
540,0.806,23.3,91.4
648,0.806,23.3,89.98
756,0.806,23.3,88.69
864,0.806,23.3,86.84
972,0.806,23.3,85.41
1080,0.806,23.3,83.13
1189,0.806,23.3,82.05
0,0.437,40.5,99.62
11,0.437,40.5,100.0
22,0.437,40.5,100.0
33,0.437,40.5,99.66
44,0.437,40.5,99.59
55,0.437,40.5,99.24
66,0.437,40.5,98.71
77,0.437,40.5,98.73
88,0.437,40.5,98.32
99,0.437,40.5,98.13
110,0.437,40.5,98.55
121,0.437,40.5,97.85
0,0.708,19.9,100.0
119,0.708,19.9,98.43
238,0.708,19.9,97.61
358,0.708,19.9,95.68
477,0.708,19.9,94.44
596,0.708,19.9,92.17
716,0.708,19.9,90.84
835,0.708,19.9,88.87
954,0.708,19.9,87.45
1074,0.708,19.9,85.86
1193,0.708,19.9,84.06
1313,0.708,19.9,82.23
0,0.396,12.6,100.0
45,0.396,12.6,99.12
90,0.396,12.6,98.86
135,0.396,12.6,99.61
180,0.396,12.6,98.4
225,0.396,12.6,98.37
270,0.396,12.6,98.12
315,0.396,12.6,97.76
360,0.396,12.6,96.62
405,0.396,12.6,96.69
450,0.396,12.6,95.83
495,0.396,12.6,96.88
0,0.363,21.7,99.64
16,0.363,21.7,99.35
32,0.363,21.7,100.0
48,0.363,21.7,100.0
64,0.363,21.7,99.29
80,0.363,21.7,98.84
96,0.363,21.7,98.38
112,0.363,21.7,98.93
128,0.363,21.7,98.75
144,0.363,21.7,98.49
160,0.363,21.7,98.64
176,0.363,21.7,98.55
0,0.708,26.8,100.0
86,0.708,26.8,98.85
172,0.708,26.8,97.92
258,0.708,26.8,96.61
344,0.708,26.8,94.55
430,0.708,26.8,93.23
516,0.708,26.8,92.15
602,0.708,26.8,90.71
688,0.708,26.8,90.0
774,0.708,26.8,88.51
860,0.708,26.8,87.41
946,0.708,26.8,85.8
0,0.688,37.4,100.0
113,0.688,37.4,98.11
227,0.688,37.4,96.53
341,0.688,37.4,93.92
455,0.688,37.4,91.61
569,0.688,37.4,89.24
682,0.688,37.4,87.58
796,0.688,37.4,85.54
910,0.688,37.4,82.84
1024,0.688,37.4,81.05
1138,0.688,37.4,77.63
1252,0.688,37.4,76.02
0,0.643,23.9,99.98
150,0.643,23.9,98.01
301,0.643,23.9,96.18
451,0.643,23.9,93.44
602,0.643,23.9,91.8
752,0.643,23.9,90.32
903,0.643,23.9,87.64
1053,0.643,23.9,85.44
1204,0.643,23.9,84.03
1354,0.643,23.9,81.89
1505,0.643,23.9,79.42
1656,0.643,23.9,76.89
0,0.607,23.4,99.65
97,0.607,23.4,98.52
194,0.607,23.4,97.47
291,0.607,23.4,96.09
388,0.607,23.4,94.66
485,0.607,23.4,94.02
582,0.607,23.4,92.75
679,0.607,23.4,91.97
776,0.607,23.4,89.84
873,0.607,23.4,88.87
970,0.607,23.4,87.57
1067,0.607,23.4,86.05
0,0.784,34.4,99.91
21,0.784,34.4,99.54
42,0.784,34.4,98.84
63,0.784,34.4,98.67
84,0.784,34.4,98.36
105,0.784,34.4,97.81
126,0.784,34.4,97.98
147,0.784,34.4,97.87
168,0.784,34.4,96.75
189,0.784,34.4,96.78
210,0.784,34.4,95.93
231,0.784,34.4,95.79
0,0.526,33.2,99.76
7,0.526,33.2,100.0
15,0.526,33.2,99.73
22,0.526,33.2,99.5
30,0.526,33.2,99.18
37,0.526,33.2,99.62
45,0.526,33.2,99.74
52,0.526,33.2,99.42
60,0.526,33.2,100.0
67,0.526,33.2,99.62
75,0.526,33.2,98.91
83,0.526,33.2,98.79
0,0.735,23.1,100.0
95,0.735,23.1,98.88
190,0.735,23.1,97.74
285,0.735,23.1,96.77
380,0.735,23.1,94.88
475,0.735,23.1,93.41
570,0.735,23.1,92.6
665,0.735,23.1,91.01
760,0.735,23.1,89.16
855,0.735,23.1,87.86
950,0.735,23.1,86.51
1046,0.735,23.1,85.12
0,0.406,18.2,99.69
62,0.406,18.2,99.15
124,0.406,18.2,98.71
187,0.406,18.2,98.58
249,0.406,18.2,97.73
311,0.406,18.2,97.27
374,0.406,18.2,96.18
436,0.406,18.2,95.85
498,0.406,18.2,95.62
561,0.406,18.2,95.01
623,0.406,18.2,93.95
686,0.406,18.2,93.64
0,0.98,28.9,99.94
11,0.98,28.9,99.86
23,0.98,28.9,99.58
35,0.98,28.9,99.42
46,0.98,28.9,98.73
58,0.98,28.9,98.69
70,0.98,28.9,98.76
82,0.98,28.9,98.54
93,0.98,28.9,98.2
105,0.98,28.9,98.12
117,0.98,28.9,97.98
129,0.98,28.9,98.06
0,0.632,31.8,99.81
86,0.632,31.8,98.99
172,0.632,31.8,97.62
259,0.632,31.8,96.44
345,0.632,31.8,95.03
432,0.632,31.8,93.59
518,0.632,31.8,91.97
605,0.632,31.8,90.67
691,0.632,31.8,89.55
778,0.632,31.8,87.51
864,0.632,31.8,86.09
951,0.632,31.8,84.92
0,0.725,23.2,99.97
64,0.725,23.2,98.43
129,0.725,23.2,98.27
193,0.725,23.2,97.42
258,0.725,23.2,96.51
322,0.725,23.2,96.17
387,0.725,23.2,94.32
451,0.725,23.2,93.54
516,0.725,23.2,91.98
580,0.725,23.2,91.8
645,0.725,23.2,90.88
710,0.725,23.2,89.89
0,0.849,35.0,100.0
80,0.849,35.0,98.44
160,0.849,35.0,97.39
241,0.849,35.0,95.43
321,0.849,35.0,93.55
401,0.849,35.0,91.62
482,0.849,35.0,90.41
562,0.849,35.0,89.17
642,0.849,35.0,88.04
723,0.849,35.0,85.57
803,0.849,35.0,83.6
884,0.849,35.0,81.74
0,0.749,16.6,100.0
198,0.749,16.6,97.86
397,0.749,16.6,95.17
596,0.749,16.6,92.92
795,0.749,16.6,90.21
994,0.749,16.6,87.27
1193,0.749,16.6,85.56
1392,0.749,16.6,82.14
1591,0.749,16.6,79.86
1790,0.749,16.6,76.06
1989,0.749,16.6,74.65
2188,0.749,16.6,72.0
0,0.655,32.9,100.0
111,0.655,32.9,98.12
222,0.655,32.9,96.76
333,0.655,32.9,94.46
445,0.655,32.9,92.66
556,0.655,32.9,91.39
667,0.655,32.9,89.44
778,0.655,32.9,86.93
890,0.655,32.9,84.98
1001,0.655,32.9,83.07
1112,0.655,32.9,81.61
1224,0.655,32.9,79.02
0,0.714,34.2,100.0
62,0.714,34.2,98.92
125,0.714,34.2,97.9
188,0.714,34.2,96.54
250,0.714,34.2,96.15
313,0.714,34.2,94.41
376,0.714,34.2,93.67
439,0.714,34.2,92.38
501,0.714,34.2,90.91
564,0.714,34.2,89.91
627,0.714,34.2,89.45
690,0.714,34.2,87.86
0,0.468,31.1,99.95
4,0.468,31.1,100.0
9,0.468,31.1,100.0
13,0.468,31.1,99.73
18,0.468,31.1,100.0
22,0.468,31.1,99.11
27,0.468,31.1,99.73
31,0.468,31.1,100.0
36,0.468,31.1,99.55
40,0.468,31.1,98.93
45,0.468,31.1,99.34
50,0.468,31.1,99.93
0,0.718,23.1,99.8
57,0.718,23.1,99.43
114,0.718,23.1,99.02
172,0.718,23.1,98.14
229,0.718,23.1,97.16
286,0.718,23.1,95.74
344,0.718,23.1,94.93
401,0.718,23.1,94.78
458,0.718,23.1,93.31
516,0.718,23.1,92.87
573,0.718,23.1,92.24
631,0.718,23.1,90.89
0,0.466,28.3,100.0
31,0.466,28.3,100.0
62,0.466,28.3,99.53
94,0.466,28.3,98.97
125,0.466,28.3,98.31
157,0.466,28.3,97.81
188,0.466,28.3,97.63
220,0.466,28.3,97.56
251,0.466,28.3,97.15
283,0.466,28.3,95.89
314,0.466,28.3,95.96
346,0.466,28.3,96.26
0,0.664,19.1,99.99
27,0.664,19.1,99.86
54,0.664,19.1,99.56
81,0.664,19.1,98.99
108,0.664,19.1,98.55
135,0.664,19.1,99.23
163,0.664,19.1,98.51
190,0.664,19.1,98.13
217,0.664,19.1,97.72
244,0.664,19.1,96.84
271,0.664,19.1,97.31
299,0.664,19.1,96.23
0,0.701,17.5,99.29
123,0.701,17.5,98.75
247,0.701,17.5,96.88
371,0.701,17.5,94.96
494,0.701,17.5,94.32
618,0.701,17.5,93.32
742,0.701,17.5,91.49
866,0.701,17.5,89.33
989,0.701,17.5,87.84
1113,0.701,17.5,86.54
1237,0.701,17.5,85.01
1361,0.701,17.5,82.88
0,0.656,31.1,99.95
176,0.656,31.1,97.37
352,0.656,31.1,95.12
528,0.656,31.1,92.22
704,0.656,31.1,89.07
880,0.656,31.1,86.58
1056,0.656,31.1,82.88
1232,0.656,31.1,80.6
1408,0.656,31.1,77.22
1584,0.656,31.1,75.15
1760,0.656,31.1,70.55
1937,0.656,31.1,67.65
0,0.725,31.8,100.0
159,0.725,31.8,97.27
319,0.725,31.8,95.13
479,0.725,31.8,92.46
639,0.725,31.8,89.49
799,0.725,31.8,86.06
959,0.725,31.8,84.02
1119,0.725,31.8,81.05
1279,0.725,31.8,77.92
1439,0.725,31.8,74.84
1599,0.725,31.8,71.89
1759,0.725,31.8,68.82
0,0.765,29.2,99.61
5,0.765,29.2,99.64
10,0.765,29.2,99.5
15,0.765,29.2,99.53
21,0.765,29.2,99.79
26,0.765,29.2,99.63
31,0.765,29.2,99.64
36,0.765,29.2,99.66
42,0.765,29.2,99.18
47,0.765,29.2,99.84
52,0.765,29.2,99.15
58,0.765,29.2,99.0
0,0.737,16.1,99.72
26,0.737,16.1,100.0
52,0.737,16.1,98.84
79,0.737,16.1,99.54
105,0.737,16.1,99.38
132,0.737,16.1,98.41
158,0.737,16.1,98.33
185,0.737,16.1,98.3
211,0.737,16.1,97.44
238,0.737,16.1,97.58
264,0.737,16.1,96.73
291,0.737,16.1,96.47
0,0.506,31.4,99.94
176,0.506,31.4,97.28
352,0.506,31.4,94.9
528,0.506,31.4,92.91
704,0.506,31.4,90.87
880,0.506,31.4,87.79
1056,0.506,31.4,84.91
1232,0.506,31.4,82.68
1408,0.506,31.4,79.68
1584,0.506,31.4,76.97
1760,0.506,31.4,74.09
1937,0.506,31.4,72.21
0,0.25,34.6,99.84
25,0.25,34.6,99.62
50,0.25,34.6,100.0
76,0.25,34.6,98.98
101,0.25,34.6,98.73
126,0.25,34.6,98.65
152,0.25,34.6,98.56
177,0.25,34.6,97.98
202,0.25,34.6,97.31
228,0.25,34.6,97.27
253,0.25,34.6,97.74
279,0.25,34.6,97.02
0,0.731,27.2,100.0
